"HASIL PEMIRA HIMATEP - 27/10/2025 11:09:03"

"KEPALA HIMPUNAN"
No,"Nama Kandidat","Nomor Urut","Total Suara",Persentase
1,"Ahmad Fauzi Nugroho",1,0,0.00%
2,"Siti Rahma Dewi",2,1,100.00%

SENAT
No,"Nama Kandidat","Nomor Urut","Total Suara",Persentase
1,"Budi Santoso",1,0,0.00%
2,"Citra Wulandari",2,0,0.00%
3,"Dimas Prasetyo",3,1,100.00%
4,"Eka Putri Lestari",4,0,0.00%
5,"Fajar Ramadhan",5,0,0.00%
6,"Gita Maharani",6,0,0.00%
7,"Hendra Wijaya",7,0,0.00%

STATISTIK
"Total Pemilih",5
"Sudah Memilih",1
"Belum Memilih",4
Partisipasi,20.00%
